member,start,end,duration
1,0:00:00.000,0:01:06.766,0:01:06.766
2,0:00:03.236,0:00:03.336,0:00:00.100
3,0:00:03.403,0:00:03.403,0:00:00.000
4,0:00:03.536,0:00:07.474,0:00:03.937
6,0:00:32.399,0:00:52.152,0:00:19.753
7,0:00:41.608,0:00:42.675,0:00:01.067
9,0:00:57.690,0:01:00.994,0:00:03.303
10,0:00:54.621,0:00:58.391,0:00:03.770
11,0:00:56.322,0:00:59.592,0:00:03.269
12,0:00:59.993,0:01:28.855,0:00:28.862
13,0:01:01.227,0:01:02.629,0:00:01.401
14,0:01:01.928,0:01:03.329,0:00:01.401
15,0:01:02.896,0:01:04.064,0:00:01.167
16,0:01:04.998,0:01:29.189,0:00:24.190
17,0:01:06.866,0:01:28.788,0:00:21.921
18,0:01:07.133,0:01:08.101,0:00:00.967
19,0:01:08.334,0:01:13.173,0:00:04.838
20,0:01:17.210,0:01:36.362,0:00:19.152
21,0:01:23.450,0:04:26.399,0:03:02.949
22,0:01:25.752,0:01:37.163,0:00:11.411
23,0:01:34.227,0:01:35.662,0:00:01.434
25,0:01:36.763,0:01:53.213,0:00:16.449
26,0:01:38.264,0:01:41.434,0:00:03.169
28,0:02:04.858,0:02:06.226,0:00:01.368
29,0:02:29.215,0:02:31.518,0:00:02.302
30,0:02:29.249,0:02:34.154,0:00:04.904
31,0:02:31.751,0:02:45.031,0:00:13.279
32,0:02:34.487,0:02:34.787,0:00:00.300
33,0:02:54.541,0:02:55.341,0:00:00.800
34,0:03:10.690,0:03:28.775,0:00:18.084
35,0:03:29.842,0:03:31.778,0:00:01.935
36,0:03:34.347,0:03:36.449,0:00:02.102
37,0:03:37.116,0:04:11.584,0:00:34.467
40,0:03:51.431,0:03:54.200,0:00:02.769
41,0:03:55.201,0:04:11.150,0:00:15.949
43,0:04:10.316,0:04:12.385,0:00:02.068
44,0:04:12.385,0:04:14.387,0:00:02.002
45,0:04:14.220,0:04:33.239,0:00:19.019
46,0:04:24.864,0:04:28.301,0:00:03.436
47,0:04:32.338,0:04:54.794,0:00:22.455
48,0:04:38.611,0:04:41.748,0:00:03.136
49,0:04:41.614,0:04:45.685,0:00:04.070
50,0:04:46.252,0:04:46.619,0:00:00.367
51,0:04:58.097,0:05:19.285,0:00:21.187
52,0:04:58.364,0:05:21.354,0:00:22.989
53,0:05:13.179,0:09:04.677,0:03:51.497
54,0:05:13.479,0:05:14.113,0:00:00.633
55,0:05:14.380,0:05:23.222,0:00:08.842
56,0:05:20.019,0:05:22.588,0:00:02.569
57,0:05:22.455,0:05:24.624,0:00:02.168
58,0:05:26.259,0:05:35.068,0:00:08.808
60,0:05:27.593,0:05:35.001,0:00:07.407
61,0:06:08.801,0:06:22.215,0:00:13.413
62,0:06:14.307,0:06:14.741,0:00:00.433
63,0:06:14.974,0:06:18.478,0:00:03.503
64,0:06:23.015,0:06:24.917,0:00:01.901
66,0:06:32.625,0:06:36.229,0:00:03.603
67,0:06:37.530,0:19:02.674,0:12:25.144
68,0:06:38.765,0:06:43.035,0:00:04.270
69,0:06:39.632,0:06:44.137,0:00:04.504
70,0:06:43.403,0:06:43.803,0:00:00.400
71,0:06:44.437,0:06:44.804,0:00:00.367
72,0:06:46.506,0:06:46.839,0:00:00.333
73,0:06:48.541,0:06:49.842,0:00:01.301
74,0:06:47.173,0:06:51.544,0:00:04.371
75,0:06:50.510,0:07:06.926,0:00:16.416
78,0:07:19.739,0:07:33.352,0:00:13.613
79,0:07:21.908,0:07:36.222,0:00:14.314
80,0:07:22.108,0:07:37.490,0:00:15.382
81,0:07:28.014,0:07:28.514,0:00:00.500
82,0:07:34.320,0:07:34.720,0:00:00.400
83,0:07:34.987,0:07:36.856,0:00:01.868
84,0:07:36.856,0:07:38.124,0:00:01.267
